206,Computer software consulting,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,2,5,,,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$200,000 to $499,999",100,,,,No,No,Increase,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK,USA,New Zealand,,,,,,,,,,,,,,,,,,,,,,
207,Systems analysis and computer programming,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,1,1,,,Stay the same,Yes,,,,,,,,,,,,,,,,Other,"$200,000 to $499,999",100,,,,Yes,No,Stay the same,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,20,Neither a barrier nor an enabler,Barrier,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Major Barrier,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier
208,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,Less than 2 years,2,3,2,5,Stay the same,Yes,ICT managers,,,Developer programmers,Database and systems administrators,,,"Software engineers, testers and app programmers",,,,,,,,,"$200,000 to $499,999",100,,,,No,No,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle East,EU,USA,India,South america,Developing new products and services,80,Major Barrier,Major Barrier,Enabler,Major Barrier,Major Barrier,Enabler,Neither a barrier nor an enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
209,Computer software publishing,Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,20,2,1,2,Increase,No,,ICT professionals,,Developer programmers,,,,"Software engineers, testers and app programmers",,,,,Research and development,,,,"$1,000,000 to $4,999,999",90,10,,,No,Yes,Increase,Increase,Irregularly,,,,Computer services,,Internet publishing and broadcasting,,,,,,,,,,,,,North America,,,,,USA,,,,,USA,Canada,EU,,,Developing new products and services,30,Barrier,Barrier,Major Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Major Enabler,Major Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Major Barrier,Enabler,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
210,Computer hardware maintenance and consulting,Privately owned (100% Australian),Interstate,10 to 19 years,12,,98,,Increase,No,,,,,,,ICT network and support professionals (e.g. computer network and systems engineers),,,,ICT sales,,,,,,"More than $10,000,000",30,70,,,Yes,Yes,Stay the same,Decrease,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Implementing new or significantly improved operational processes,2,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler,Major Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
211,Internet and web design consulting,Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,1,1,,,Stay the same,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$0 to $199,999",100,,,,Yes,No,Stay the same,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Customising/modifying existing products and services,0,Enabler,Major Barrier,Barrier,,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Major Enabler,Major Enabler,Enabler,Barrier,Neither a barrier nor an enabler,Barrier,Major Barrier,Major Barrier,Barrier,Barrier
213,Internet publishing,Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,2,9,2,2,Increase,Yes,,,,Developer programmers,,,,,,,,,,,,,"$1,000,000 to $4,999,999",35,65,,,No,Yes,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Implementing new or significantly improved operational processes,7,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Major Barrier,Major Enabler,Major Enabler,Enabler,Enabler,Major Enabler,Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
214,Internet publishing,Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,2,,,,Increase,No,,,"ICT business analysts, systems analysts and programmers",Developer programmers,Database and systems administrators,ICT security specialists,,,,,,,,,,,"$0 to $199,999",100,,,,No,No,Increase,Increase,Regularly,,,,,,Internet publishing and broadcasting,,,,,,,,,,,,,,,,,,,,,,,China,Canada,USA,Singapore,Africa,Developing new products and services,100,Neither a barrier nor an enabler,Major Barrier,Barrier,Major Barrier,Major Barrier,Major Barrier,Enabler,Major Enabler,Not Applicable,Major Barrier,Barrier,Barrier,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Not Applicable
216,Internet and web design consulting,Privately owned (100% Australian),Regional Victoria,20 or more years,2,,,,Stay the same,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$0 to $199,999",10,10,,80,Yes,Yes,Increase,Stay the same,Regularly,,,Computer software,Computer services,Internet and web design,,,,,,,,,,,,Western Europe,,North America,,,,,Finland,France,Sweden,Germany,USA,Finland,Germany,USA,France,Sweden,Customising/modifying existing products and services,5,Neither a barrier nor an enabler,Major Barrier,Barrier,Major Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler
217,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,Less than 2 years,1,1,2,,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$0 to $199,999",,100,,,No,Yes,Increase,Increase,Regularly,,,Computer software,,,,,,,,,,,,,,,Africa,North America,,,,,USA,South Africa,,,,USA,EU,South East Asia,South America,,Developing new products and services,80,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Enabler,Major Enabler,Major Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Not Applicable,Enabler,Enabler
218,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,1,2,1,,Stay the same,Yes,,,,Developer programmers,,,,,,,,,,,,,"$200,000 to $499,999",15,32,,53,Yes,Yes,Stay the same,Stay the same,Regularly,,,Computer software,,,,,,,,,South East Asia,,,Middle East,,Western Europe,Africa,North America,,South America,,,Malaysia,China,Canada,UK,USA,Malaysia,China,Canada,Taiwan,UK,Developing new products and services,30,Barrier,Neither a barrier nor an enabler,Not Applicable,Not Applicable,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler
219,Internet and web design consulting,Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,6,3,,1,Decrease,Yes,,,,,,,,,,,,,,,,Other,"$1,000,000 to $4,999,999",20,60,10,10,Yes,Yes,Stay the same,Increase,Irregularly,,,,,Internet and web design,Internet publishing and broadcasting,,,,,Other,,,,,,Western Europe,,North America,,,,,USA,Canada,UK,France,,,,,,,Developing new products and services,25,,,,,,,,,,,,,,,,,,
222,Computer software consulting,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,20,2,,,Increase,Yes,,ICT professionals,"ICT business analysts, systems analysts and programmers",,,,,"Software engineers, testers and app programmers",,,,,,,,,"$1,000,000 to $4,999,999",95,5,,,No,No,Increase,Stay the same,Irregularly,,,Computer software,,,,,,,,,,,,,,,,,,,Oceania and Pacific Islands,,New Zealand,,,,,UK,New Zealand,South East Asia,,,Developing new products and services,15,Major Barrier,Barrier,Barrier,Major Barrier,Barrier,Major Enabler,Major Enabler,Major Enabler,Major Enabler,Barrier,Enabler,Major Barrier,Barrier,Neither a barrier nor an enabler,Enabler,Barrier,Enabler,Enabler
223,Computer software consulting,Listed on foreign exchange,Overseas,5 to 9 years,148,,92,20,Increase,Yes,,,,Developer programmers,,,,"Software engineers, testers and app programmers",,,,,,,,,"More than $10,000,000",70,20,,10,No,No,Increase,Increase,Regularly,,,Computer software,,,,,,Telecommunications services,,,South East Asia,East Asia,,,,,,,,,,,Malaysia,JAPAN,South Korea,,,Malaysia,Philippines,JAPAN,South Korea,,Implementing new or significantly improved operational processes,1,Barrier,Barrier,Major Barrier,Enabler,Barrier,Not Applicable,Enabler,Not Applicable,Enabler,Enabler,Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Not Applicable,Enabler,Enabler
224,Systems analysis and computer programming,Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,8,1,,1,Increase,Yes,,ICT professionals,,Developer programmers,,,,"Software engineers, testers and app programmers",,,,,Research and development,,,,"$1,000,000 to $4,999,999",50,,,50,No,Yes,Increase,Stay the same,Regularly,Computer hardware,,,,,,,Hardware and software maintenance,,,,,,,,,Western Europe,,North America,,,,,USA,EU,,,,USA,EU,Asia,,,Developing new products and services,80,Enabler,Neither a barrier nor an enabler,Major Barrier,Enabler,Neither a barrier nor an enabler,Major Enabler,Not Applicable,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Barrier,Enabler,Enabler,Neither a barrier nor an enabler,Enabler,Enabler
225,Wholesaling – ICT goods,Privately owned (100% Australian),Interstate,20 or more years,10,,75,1,Increase,Yes,,,,,,,,,,,ICT sales,,,,,,"More than $10,000,000",20,80,,,Yes,No,Increase,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Zealand,Papua New Guinea,Solomon Islands,,,Developing new products and services,2,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Major Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier
227,"Software development and installation (incl. game, app and e-learning resource development)",Listed on ASX,Metropolitan Melbourne,20 or more years,20,,6,,Stay the same,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$1,000,000 to $4,999,999",20,80,,,No,No,Increase,Stay the same,Irregularly,,,Computer software,Computer services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Major Barrier,Major Barrier,Neither a barrier nor an enabler,Major Barrier,Barrier,Major Enabler,Enabler,Neither a barrier nor an enabler,Enabler,Enabler,Enabler,Major Barrier,Major Barrier,Enabler,Neither a barrier nor an enabler,Major Barrier,Enabler,Enabler
230,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,22,,,,Increase,Yes,,,,,,,,,,,,,,,,Other,"$1,000,000 to $4,999,999",3,7,,90,Yes,Yes,Increase,Stay the same,Regularly,,,Computer software,,Internet and web design,,,,,,,South East Asia,,,,,,,,,,Oceania and Pacific Islands,,Indonesia,India,Tahiti,,,Indonesia,India,Tahiti,Malaysia,,Developing new products and services,30,Enabler,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Enabler,Major Enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Barrier,Barrier,Enabler,Enabler
231,Computer software publishing,Privately owned (100% Australian),Metropolitan Melbourne,Less than 2 years,2,,,2,Increase,Yes,,,,Developer programmers,Database and systems administrators,,,"Software engineers, testers and app programmers",,,,,,,,,"$0 to $199,999",75,25,,,No,Yes,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,UK,,,,Developing new products and services,40,Major Enabler,Barrier,Enabler,Major Barrier,Barrier,Enabler,Major Enabler,Major Enabler,Major Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Enabler,Enabler,Neither a barrier nor an enabler
232,Systems analysis and computer programming,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,3,,,,Stay the same,Yes,,,,Developer programmers,,,,,,,,,,,,,"$500,000 to $999,999",30,20,,50,No,No,Increase,Stay the same,Regularly,,,Computer software,,,,,,,,,,,,,,,,North America,,,,,USA,,,,,USA,,,,,Developing new products and services,2,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Major Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Major Barrier,Major Barrier,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler
233,Telecommunications services,Privately owned (up to 49% foreign owned),Metropolitan Melbourne,10 to 19 years,4,,,,Decrease,No,,,"ICT business analysts, systems analysts and programmers",Developer programmers,,,,,,,,,,,,Other,"$0 to $199,999",80,,,20,No,No,Decrease,Decrease,Irregularly,,,Computer software,,,,,,Telecommunications services,,,South East Asia,,,,,,,North America,,,,,Indonesia,USA,,,,,,,,,Customising/modifying existing products and services,90,Major Barrier,Major Barrier,Barrier,Major Barrier,Major Barrier,Major Barrier,Major Barrier,Enabler,Barrier,Barrier,Barrier,Major Barrier,Major Barrier,Barrier,Barrier,Major Barrier,Major Barrier,Neither a barrier nor an enabler
234,Manufacturing – ICT equipment,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,1,3,,,Increase,Yes,,,,,,,,,"Technicians – ICT, telecommunications and electronics",,,,,,,,"$0 to $199,999",100,,,,No,Yes,Increase,Increase,Irregularly,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,USA,,,,,Developing new products and services,300,Barrier,Neither a barrier nor an enabler,Enabler,Major Barrier,Barrier,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Major Barrier,Barrier,Major Barrier,Major Barrier
